id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,bathrooms,property_type,beds,host_listings_count,instant_bookable,first_review,accommodates,review_scores_rating
5121600,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14915,-8.61645,Entire home/apt,50,2,250,2020-07-30,3.41,9,259,1.0,Entire apartment,1.0,24.0,t,2015-02-10,2,94.0
5129962,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15041,-8.67622,Entire home/apt,155,2,28,2019-12-27,0.41,2,356,1.0,Entire apartment,1.0,7.0,t,2015-06-27,5,97.0
5162503,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16058,-8.60594,Entire home/apt,38,3,100,2019-10-15,1.46,3,105,1.0,Tiny house,1.0,3.0,t,2015-07-08,2,91.0
5190799,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14972,-8.61577,Entire home/apt,35,2,430,2020-03-07,5.86,6,290,1.0,Entire apartment,2.0,6.0,t,2015-02-04,3,92.0
5198481,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15522,-8.62619,Entire home/apt,36,2,128,2020-10-11,1.85,3,365,1.0,Entire apartment,3.0,3.0,f,2015-06-07,4,95.0
5202443,VILA DO CONDE,Mindelo,41.31347,-8.73029,Entire home/apt,65,2,2,2020-09-27,0.03,1,331,1.0,Entire house,2.0,1.0,f,2015-07-25,4,90.0
5204483,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.22829,-8.68097,Private room,19,3,3,2017-05-11,0.04,1,364,1.0,Private room in house,1.0,1.0,t,2015-08-25,1,100.0
5219004,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14818,-8.61938,Entire home/apt,54,1,3,2016-10-19,0.04,5,347,1.0,Entire serviced apartment,2.0,5.0,f,2015-04-03,4,87.0
5237978,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15009,-8.60684,Entire home/apt,136,1,50,2021-01-02,0.7,65,216,4.0,Entire apartment,5.0,70.0,t,2015-04-13,11,91.0
5259135,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.39722,-8.77763,Entire home/apt,100,7,1,2016-07-08,0.02,2,0,2.0,Entire house,3.0,3.0,t,2016-07-08,6,100.0
5266007,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07543,-8.65152,Entire home/apt,113,3,16,2020-08-30,0.24,2,12,3.0,Entire house,4.0,2.0,f,2015-09-01,6,94.0
5266672,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14537,-8.60328,Entire home/apt,55,1,283,2020-03-15,3.87,5,72,1.0,Entire apartment,1.0,5.0,f,2015-02-14,4,93.0
5270632,PORTO,Lordelo do Ouro e Massarelos,41.14898,-8.63417,Entire home/apt,40,2,87,2020-10-18,1.39,8,224,1.0,Entire apartment,1.0,8.0,t,2016-01-01,2,96.0
5283892,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14914,-8.60486,Entire home/apt,25,2,514,2021-01-18,7.09,2,240,2.0,Entire apartment,4.0,2.0,t,2015-03-03,6,93.0
5291799,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14419,-8.6133,Entire home/apt,60,2,62,2020-10-23,0.86,5,337,1.0,Entire apartment,3.0,5.0,t,2015-03-10,4,98.0
5296858,TROFA,Muro,41.28532,-8.59104,Entire home/apt,63,2,22,2020-09-26,0.31,2,365,1.0,Entire villa,2.0,2.0,f,2015-04-02,4,97.0
5312175,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14545,-8.60765,Entire home/apt,45,2,217,2020-09-15,2.99,3,150,1.0,Entire apartment,1.0,4.0,t,2015-02-28,2,96.0
